,index,batsman,bowler,P0,P1,P2,P3,P4,P6,bowler_cluster,batsman_cluster
174,5844,J Botha,NL McCullum,0.333333333333333,0.666666666666667,0,0,0,0,,9.0
175,5866,J Botha,V Kohli,0.3,0.5,0.2,0,0,0,4.0,9.0
176,5834,J Botha,KK Cooper,0.5,0.5,0,0,0,0,2.0,9.0
177,5859,J Botha,S Randiv,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0.0,9.0
178,5854,J Botha,RA Jadeja,0.363636363636364,0.545454545454545,0,0,0.0909090909090909,0,6.0,9.0
179,5815,J Botha,Anureet Singh,1,0,0,0,0,0,4.0,9.0
180,5868,J Botha,VY Mahesh,0.5,0.333333333333333,0.166666666666667,0,0,0,4.0,9.0
181,5812,J Botha,AG Murtaza,0.428571428571429,0.428571428571429,0.142857142857143,0,0,0,4.0,9.0
182,5810,J Botha,AC Thomas,1,0,0,0,0,0,4.0,9.0
183,5827,J Botha,DW Steyn,0.5625,0.3125,0,0,0.125,0,5.0,9.0
184,5856,J Botha,RJ Harris,0,1,0,0,0,0,2.0,9.0
185,5826,J Botha,DT Christian,0.0909090909090909,0.454545454545455,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,2.0,9.0
186,5864,J Botha,ST Jayasuriya,0.333333333333333,0.666666666666667,0,0,0,0,4.0,9.0
187,5832,J Botha,JO Holder,0.461538461538462,0.153846153846154,0.0769230769230769,0,0.230769230769231,0.0769230769230769,4.0,9.0
188,5842,J Botha,MM Patel,0.4,0.2,0.4,0,0,0,3.0,9.0
189,5846,J Botha,P Kumar,0,0.5,0.5,0,0,0,1.0,9.0
190,5852,J Botha,R Shukla,0,1,0,0,0,0,0.0,9.0
191,5870,J Botha,Z Khan,0,0.2,0,0,0.8,0,6.0,9.0
192,6815,KA Pollard,Kuldeep Yadav,0.714285714285714,0.142857142857143,0.142857142857143,0,0,0,2.0,1.0
193,6799,KA Pollard,J Botha,0.272727272727273,0.272727272727273,0.0909090909090909,0,0.181818181818182,0.181818181818182,2.0,1.0
194,6823,KA Pollard,M Muralitharan,0.5,0.428571428571429,0,0,0,0.0714285714285714,3.0,1.0
195,6788,KA Pollard,DR Smith,0.5,0.166666666666667,0,0,0.166666666666667,0.166666666666667,2.0,1.0
196,6803,KA Pollard,Jaskaran Singh,0.5,0.5,0,0,0,0,0.0,1.0
197,6763,KA Pollard,AR Patel,0.294117647058824,0.470588235294118,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,3.0,1.0
198,6768,KA Pollard,B Lee,0.5,0.333333333333333,0,0,0.166666666666667,0,2.0,1.0
199,6839,KA Pollard,NM Coulter-Nile,0.428571428571429,0.142857142857143,0.285714285714286,0,0,0.142857142857143,2.0,1.0
200,6758,KA Pollard,AL Menaria,0.2,0.2,0.2,0,0.4,0,0.0,1.0
201,6793,KA Pollard,HV Patel,0.45,0.3,0.05,0,0.15,0.05,2.0,1.0
202,6807,KA Pollard,Joginder Sharma,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,4.0,1.0
203,6874,KA Pollard,SK Trivedi,0.473684210526316,0.526315789473684,0,0,0,0,3.0,1.0
204,6880,KA Pollard,STR Binny,0.111111111111111,0.555555555555556,0.111111111111111,0,0.111111111111111,0.111111111111111,2.0,1.0
205,6834,KA Pollard,MP Stoinis,0.714285714285714,0.285714285714286,0,0,0,0,4.0,1.0
206,6747,KA Pollard,A Singh,0.75,0,0.25,0,0,0,4.0,1.0
207,6766,KA Pollard,B Kumar,0.5,0.416666666666667,0,0,0.0833333333333333,0,6.0,1.0
208,6852,KA Pollard,R McLaren,0.75,0,0,0,0.25,0,4.0,1.0
209,6804,KA Pollard,JD Unadkat,0.357142857142857,0.357142857142857,0.0714285714285714,0,0,0.214285714285714,3.0,1.0
210,6811,KA Pollard,K Rabada,0.444444444444444,0.444444444444444,0,0,0.111111111111111,0,0.0,1.0
211,6833,KA Pollard,Mohammed Siraj,0.666666666666667,0.333333333333333,0,0,0,0,4.0,1.0
212,6849,KA Pollard,R Ashwin,0.56,0.28,0,0,0.04,0.12,6.0,1.0
213,6750,KA Pollard,AB Agarkar,0.363636363636364,0.454545454545455,0.0909090909090909,0,0,0.0909090909090909,2.0,1.0
214,6836,KA Pollard,MS Gony,0.625,0.375,0,0,0,0,2.0,1.0
215,6868,KA Pollard,S Tyagi,0,0,1,0,0,0,4.0,1.0
216,6855,KA Pollard,R Tewatia,0.25,0.5,0,0,0,0.25,4.0,1.0
217,6826,KA Pollard,MF Maharoof,0,1,0,0,0,0,4.0,1.0
218,6863,KA Pollard,S Aravind,0.304347826086957,0.434782608695652,0.130434782608696,0,0.130434782608696,0,2.0,1.0
219,6759,KA Pollard,Anand Rajan,0.333333333333333,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.0,1.0
220,6873,KA Pollard,SJ Srivastava,0.428571428571429,0.285714285714286,0.142857142857143,0,0.142857142857143,0,4.0,1.0
221,6878,KA Pollard,SP Narine,0.233333333333333,0.6,0.133333333333333,0,0,0.0333333333333333,5.0,1.0
222,6882,KA Pollard,TG Southee,0.222222222222222,0.222222222222222,0,0,0.333333333333333,0.222222222222222,2.0,1.0
223,6772,KA Pollard,BB Sran,0.4,0.2,0,0,0.4,0,2.0,1.0
224,6785,KA Pollard,DJG Sammy,0.2,0.4,0.2,0,0.2,0,4.0,1.0
225,6862,KA Pollard,RR Powar,0.5,0,0.5,0,0,0,4.0,1.0
