"","batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"394","AM Rahane","JD Unadkat",1,14,0.0714285714285714,0.928571428571429
"395","AM Rahane","JO Holder",1,11,0.0909090909090909,0.909090909090909
"396","AM Rahane","JP Faulkner",1,17,0.0588235294117647,0.941176470588235
"397","AM Rahane","KA Pollard",1,8,0.125,0.875
"398","AM Rahane","KP Appanna",1,7,0.142857142857143,0.857142857142857
"399","AM Rahane","KV Sharma",1,20,0.05,0.95
"400","AM Rahane","L Balaji",1,13,0.0769230769230769,0.923076923076923
"401","AM Rahane","M Morkel",1,69,0.0144927536231884,0.985507246376812
"402","AM Rahane","MA Starc",1,24,0.0416666666666667,0.958333333333333
"403","AM Rahane","MG Johnson",1,39,0.0256410256410256,0.974358974358974
"404","AM Rahane","MJ McClenaghan",1,21,0.0476190476190476,0.952380952380952
"405","AM Rahane","MM Sharma",1,27,0.037037037037037,0.962962962962963
