"SP Narine","RP Singh","5"
"KL Rahul","R Dhawan","6"
"MK Tiwary","AB Agarkar","15"
"STR Binny","A Nehra","8"
"SK Raina","RV Gomez","7"
"AM Nayar","DNT Zoysa","7"
"S Rana","A Nehra","3"
"LA Pomersbach","Harbhajan Singh","1"
"A Symonds","GD McGrath","5"
"Q de Kock","A Mishra","6"
"EJG Morgan","S Nadeem","7"
"TM Dilshan","RG Sharma","14"
"R Bhatia","Azhar Mahmood","2"
"NV Ojha","R McLaren","6"
"S Dhawan","SK Raina","31"
"N Rana","PJ Cummins","2"
"JA Morkel","DL Vettori","9"
"YK Pathan","DT Christian","3"
"EJG Morgan","MA Starc","5"
"JA Morkel","AB Agarkar","9"
"MA Starc","DJ Bravo","8"
"V Sehwag","UT Yadav","25"
"J Botha","P Kumar","2"
"CL White","R Bhatia","19"
"RG Sharma","TG Southee","4"
"G Gambhir","I Sharma","48"
"MA Starc","DW Steyn","5"
"P Kumar","VRV Singh","6"
"TM Dilshan","SL Malinga","51"
"DA Miller","MM Patel","8"
"RV Uthappa","AR Patel","50"
"JH Kallis","Harmeet Singh","19"
"Mandeep Singh","R Sharma","28"
"JD Ryder","R McLaren","9"
"R Dhawan","M Morkel","4"
"LRPL Taylor","YA Abdulla","5"
"BB McCullum","B Lee","15"
"SM Harwood","L Balaji","4"
"TL Suman","AS Raut","1"
"DNT Zoysa","S Sreesanth","1"
"EJG Morgan","DJ Bravo","22"
"Shahid Afridi","M Muralitharan","1"
"AG Murtaza","SR Watson","1"
"AA Jhunjhunwala","ST Jayasuriya","7"
"STR Binny","Harbhajan Singh","31"
"AB de Villiers","RS Bopara","8"
"SC Ganguly","JR Hopes","5"
"M Vijay","KA Pollard","2"
"BB McCullum","IK Pathan","47"
"MK Pandey","BA Stokes","3"
"RA Jadeja","LR Shukla","12"
"UT Yadav","AD Mathews","3"
"AM Rahane","P Kumar","61"
"AB Agarkar","DW Steyn","2"
"M Vohra","CR Brathwaite","5"
"SS Iyer","S Aravind","5"
"AM Rahane","R Vinay Kumar","62"
"RV Uthappa","RA Tripathi","3"
"PA Patel","VS Malik","2"
"AB McDonald","PP Chawla","3"
"LJ Wright","CH Morris","4"
"MC Henriques","Gurkeerat Singh","6"
"MK Pandey","S Nadeem","28"
"F du Plessis","P Sahu","14"
"SB Bangar","AB Dinda","2"
"M Vohra","JP Faulkner","7"
"Mandeep Singh","SB Jakati","5"
"Ankit Sharma","KW Richardson","2"
"PA Patel","Sohail Tanvir","14"
"Gurkeerat Singh","A Mishra","7"
"SK Raina","Karanveer Singh","3"
"A Chopra","Y Venugopal Rao","7"
"R Dravid","Gagandeep Singh","10"
"Y Nagar","P Kumar","3"
"C de Grandhomme","BA Stokes","3"
"AJ Finch","NLTC Perera","1"
"DB Das","SM Pollock","4"
"PA Patel","R McLaren","13"
"LA Carseldine","JH Kallis","2"
"DB Ravi Teja","SL Malinga","12"
"Misbah-ul-Haq","RP Singh","6"
"IK Pathan","Z Khan","20"
"AA Chavan","KA Pollard","1"
"PA Patel","AB Dinda","55"
"LMP Simmons","S Aravind","14"
"YS Chahal","BCJ Cutting","2"
"SK Raina","K Goel","7"
"ML Hayden","R Bhatia","8"
"SW Billings","B Kumar","4"
"SA Yadav","R Vinay Kumar","8"
"GJ Maxwell","Yuvraj Singh","6"
"K Rabada","MG Johnson","2"
"A Nehra","VRV Singh","2"
"Gurkeerat Singh","PP Ojha","2"
"R Vinay Kumar","B Kumar","1"
"S Badrinath","A Mishra","22"
"S Dhawan","A Chandila","7"
"A Symonds","SR Watson","16"
"RA Jadeja","Ankit Sharma","5"
"V Kohli","Kamran Khan","11"
"TM Dilshan","JA Morkel","14"
"HH Gibbs","VRV Singh","4"
"SM Pollock","GD McGrath","9"
"GC Smith","L Balaji","11"
"KV Sharma","KK Cooper","4"
"CA Lynn","SK Trivedi","2"
"JD Ryder","TM Dilshan","2"
"BB McCullum","MR Marsh","3"
"KK Cooper","AR Patel","2"
"UBT Chand","S Sreesanth","9"
"MC Henriques","TG Southee","5"
"MEK Hussey","P Awana","16"
"BB McCullum","PV Tambe","15"
"AJ Tye","AR Patel","4"
"AP Tare","JH Kallis","4"
"MK Tiwary","A Singh","11"
"KD Karthik","AD Mathews","7"
"Shoaib Malik","DS Kulkarni","7"
"SR Watson","S Narwal","8"
"DJ Hussey","DT Christian","2"
"LJ Wright","Azhar Mahmood","5"
"MC Henriques","Shakib Al Hasan","7"
"A Flintoff","SL Malinga","4"
"M Manhas","PP Ojha","16"
"JP Duminy","HH Pandya","4"
"S Rana","MG Johnson","2"
"Harbhajan Singh","Shakib Al Hasan","9"
"SK Raina","LH Ferguson","2"
"S Dhawan","MN Samuels","11"
"B Kumar","NM Coulter-Nile","5"
"SE Marsh","AN Ahmed","9"
"R Dravid","DT Christian","19"
"HH Gibbs","S Sreesanth","31"
"C de Grandhomme","HH Pandya","4"
"RV Uthappa","R Vinay Kumar","42"
"BB McCullum","BE Hendricks","4"
"MC Henriques","Basil Thampi","3"
"D Wiese","KA Pollard","5"
"A Symonds","AP Dole","5"
"SV Samson","NLTC Perera","11"
"Yuvraj Singh","MC Henriques","9"
"YK Pathan","J Suchith","5"
"RA Jadeja","RR Raje","5"
"Sachin Baby","Sandeep Sharma","3"
"KP Pietersen","DT Christian","13"
"S Dhawan","Iqbal Abdulla","13"
"DJ Hussey","M Ntini","1"
"Shakib Al Hasan","Mohammed Shami","3"
"AA Bilakhia","A Nehra","13"
"KD Karthik","DP Nannes","7"
"YK Pathan","R Sharma","18"
"Yuvraj Singh","P Awana","9"
"RA Jadeja","VR Aaron","3"
"HV Patel","MG Johnson","2"
"MC Henriques","TS Mills","4"
"OA Shah","RP Singh","6"
"S Badrinath","Harbhajan Singh","37"
"TM Dilshan","MG Johnson","11"
"RA Jadeja","IK Pathan","26"
"SP Goswami","CRD Fernando","4"
"Gurkeerat Singh","PP Chawla","8"
"PA Patel","RJ Harris","1"
"PA Patel","AD Russell","7"
"AJ Finch","JH Kallis","11"
"Yuvraj Singh","R Sathish","2"
"SN Khan","DJ Bravo","9"
"JC Buttler","TA Boult","4"
"AA Jhunjhunwala","AB McDonald","2"
"C Munro","BB Sran","7"
"R Bhatia","Yuvraj Singh","6"
"GC Smith","Abdur Razzak","8"
"JH Kallis","P Parameswaran","8"
"KW Richardson","CH Morris","3"
"MD Mishra","DE Bollinger","15"
